codigo,nome
R78,Presença de drogas e de outras substâncias normalmente não encontradas no sangue
R78.0,Presença de álcool no sangue
R78.1,Presença de opiáceos no sangue
R78.2,Presença de cocaína no sangue
R78.3,Presença de alucinógeno no sangue
R78.4,"Presença de outras drogas com potencial de causar dependência, no sangue"
R78.5,Presença de droga psicotrópica no sangue
R78.6,Presença de agente esteróide no sangue
R78.7,Presença de nível anormal de metais pesados no sangue
R78.8,Presença de outras substâncias especificadas não normalmente encontradas no sangue
R78.9,Presença de substância não especificada normalmente não encontrada no sangue
R79,Outros achados anormais de exames químicos do sangue
R79.0,Anormalidade do nível de elementos minerais no sangue
R79.8,Outros achados anormais especificados de exames químicos do sangue
R79.9,"Achado anormal de exame químico do sangue, não especificado"
R80,Proteinúria isolada
R81,Glicosúria
R82,Outros achados anormais na urina
R82.0,Quilúria
R82.1,Mioglobinúria
R82.2,Biliúria
R82.3,Hemoglobinúria
R82.4,Acetonúria
R82.5,"Níveis urinários elevados de drogas, medicamentos e substâncias biológicas"
R82.6,Níveis urinários anormais de substâncias cuja origem é essencialmente não-medicinal
R82.7,Achados anormais ao exame microbiológico da urina
R82.8,Achados anormais ao exame citológico e histológico da urina
R82.9,Outros achados anormais na urina e os não especificados
R83,Achados anormais no líquido cefalorraquidiano
R83.0,Achados anormais no líquido cefalorraquidiano - nível enzimático anormal
R83.1,Achados anormais no líquido cefalorraquidiano - nível hormonal anormal
R83.2,"Achados anormais no líquido cefalorraquidiano - nível anormal de outras drogas, medicamentos e substâncias biológicas"
R83.3,Achados anormais no líquido cefalorraquidiano - nível anormal de substâncias cuja origem é essencialmente não medicinal
R83.4,Achados anormais no líquido cefalorraquidiano - achados imunológicos anormais
R83.5,Achados anormais no líquido cefalorraquidiano - achados microbiológicos anormais
R83.6,Achados anormais no líquido cefalorraquidiano - achados citológicos anormais
R83.7,Achados anormais no líquido cefalorraquidiano - achados histológicos anormais
R83.8,Achados anormais no líquido cefalorraquidiano - outros achados anormais
R83.9,Achados anormais no líquido cefalorraquidiano - achado anormal não especificado
R84,Achados anormais de material proveniente dos órgãos respiratórios e do tórax
R84.0,Achados anormais de material proveniente dos órgãos respiratórios e do tórax - nível enzimático anormal
R84.1,Achados anormais de material proveniente dos órgãos respiratórios e do tórax - nível hormonal anormal
R84.2,"Achados anormais de material proveniente dos órgãos respiratórios e do tórax - nível anormal de outras drogas, medicamentos e substâncias biológicas"
R84.3,Achados anormais de material proveniente dos órgãos respiratórios e do tórax - nível anormal de substâncias cuja origem é essencialmente não medicinal
R84.4,Achados anormais de material proveniente dos órgãos respiratórios e do tórax - achados imunológicos anormais
R84.5,Achados anormais de material proveniente dos órgãos respiratórios e do tórax - achados microbiológicos anormais
R84.6,Achados anormais de material proveniente dos órgãos respiratórios e do tórax - achados citológicos anormais
R84.7,Achados anormais de material proveniente dos órgãos respiratórios e do tórax - achados histológicos anormais
R84.8,Achados anormais de material proveniente dos órgãos respiratórios e do tórax - outros achados anormais
R84.9,Achados anormais de material proveniente dos órgãos respiratórios e do tórax - achado anormal não especificado
R85,Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal
R85.0,Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal - nível enzimático anormal
R85.1,Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal - nível hormonal anormal
R85.2,"Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal - nível anormal de outras drogas, medicamentos e substâncias biológicas"
R85.3,Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal - nível anormal de substâncias cuja origem é essencialmente não medicinal
R85.4,Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal - achados imunológicos anormais
R85.5,Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal - achados microbiológicos anormais
R85.6,Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal - achados citológicos anormais
R85.7,Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal - achados histológicos anormais
R85.8,Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal - outros achados anormais
R85.9,Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal - achado anormal não especificado
R86,Achados anormais de material proveniente dos órgãos genitais masculinos
R86.0,Achados anormais de material proveniente dos órgãos genitais masculinos - nível enzimático anormal
R86.1,Achados anormais de material proveniente dos órgãos genitais masculinos - nível hormonal anormal
R86.2,"Achados anormais de material proveniente dos órgãos genitais masculinos - nível anormal de outras drogas, medicamentos e substâncias biológicas"
R86.3,Achados anormais de material proveniente dos órgãos genitais masculinos - nível anormal de substâncias cuja origem é essencialmente não medicinal
R86.4,Achados anormais de material proveniente dos órgãos genitais masculinos - achados imunológicos anormais
R86.5,Achados anormais de material proveniente dos órgãos genitais masculinos - achados microbiológicos anormais
R86.6,Achados anormais de material proveniente dos órgãos genitais masculinos - achados citológicos anormais
R86.7,Achados anormais de material proveniente dos órgãos genitais masculinos - achados histológicos anormais
R86.8,Achados anormais de material proveniente dos órgãos genitais masculinos - outros achados anormais
R86.9,Achados anormais de material proveniente dos órgãos genitais masculinos - achado anormal não especificado
R87,Achados anormais de material proveniente dos órgãos genitais femininos
R87.0,Achados anormais de material proveniente dos órgãos genitais femininos - nível enzimático anormal
R87.1,Achados anormais de material proveniente dos órgãos genitais femininos - nível hormonal anormal
R87.2,"Achados anormais de material proveniente dos órgãos genitais femininos - nível anormal de outras drogas, medicamentos e substâncias biológicas"
R87.3,Achados anormais de material proveniente dos órgãos genitais femininos - nível anormal de substâncias cuja origem é essencialmente não medicinal
R87.4,Achados anormais de material proveniente dos órgãos genitais femininos - achados imunológicos anormais
R87.5,Achados anormais de material proveniente dos órgãos genitais femininos - achados microbiológicos anormais
R87.6,Achados anormais de material proveniente dos órgãos genitais femininos - achados citológicos anormais
R87.7,Achados anormais de material proveniente dos órgãos genitais femininos - achados histológicos anormais
R87.8,Achados anormais de material proveniente dos órgãos genitais femininos - outros achados anormais
R87.9,Achados anormais de material proveniente dos órgãos genitais femininos - achado anormal não especificado
R89,"Achados anormais de material proveniente de outros órgãos, aparelhos, sistemas e tecidos"
R89.0,"Achados anormais de material proveniente de outros órgãos, aparelhos, sistemas e tecidos - nível enzimático anormal"
R89.1,"Achados anormais de material proveniente de outros órgãos, aparelhos, sistemas e tecidos - nível hormonal anormal"
R89.2,"Achados anormais de material proveniente de outros órgãos, aparelhos, sistemas e tecidos - nível anormal de outras drogas, medicamentos e substâncias biológicas"
R89.3,"Achados anormais de material proveniente de outros órgãos, aparelhos, sistemas e tecidos - nível anormal de substâncias cuja origem é essencialmente não medicinal"
R89.4,"Achados anormais de material proveniente de outros órgãos, aparelhos, sistemas e tecidos - achados imunológicos anormais"
R89.5,"Achados anormais de material proveniente de outros órgãos, aparelhos, sistemas e tecidos - achados microbiológicos anormais"
R89.6,"Achados anormais de material proveniente de outros órgãos, aparelhos, sistemas e tecidos - achados citológicos anormais"
R89.7,"Achados anormais de material proveniente de outros órgãos, aparelhos, sistemas e tecidos - achados histológicos anormais"
R89.8,"Achados anormais de material proveniente de outros órgãos, aparelhos, sistemas e tecidos - outros achados anormais"
R89.9,"Achados anormais de material proveniente de outros órgãos, aparelhos, sistemas e tecidos - achado anormal não especificado"
R90,Resultados anormais de exames para diagnóstico por imagem do sistema nervoso central
R90.0,Lesão intracraniana ocupando espaço
R90.8,Outros resultados anormais de exames para diagnóstico por imagem do sistema nervoso central
R91,"Achados anormais, de exames para diagnóstico por imagem, do pulmão"
R92,"Achados anormais, de exames para diagnóstico por imagem, da mama"
R93,Achados anormais de exames para diagnóstico por imagem de outras estruturas do corpo
R93.0,Achados anormais de exames para diagnóstico por imagem do crânio e da cabeça não classificados em outra parte
R93.1,Achados anormais de exames para diagnóstico por imagem do coração e da circulação coronariana
R93.2,Achados anormais de exames para diagnóstico por imagem do fígado e das vias biliares
R93.3,Achados anormais de exames para diagnóstico por imagem de outras partes do tubo digestivo
R93.4,Achados anormais de exames para diagnóstico por imagem dos órgãos urinários
R93.5,"Achados anormais de exames para diagnóstico por imagem de outras regiões do abdome, incluindo o retroperitônio"
R93.6,Achados anormais de exames para diagnóstico por imagem dos membros
R93.7,Achados anormais de exames para diagnóstico por imagem de outras partes do sistema osteomuscular
R93.8,Achados anormais de exames diagnósticos por imagem de outras estruturas somáticas especificadas
R94,Resultados anormais de estudos de função
R94.0,Resultados anormais de estudos de função do sistema nervoso central
R94.1,Resultados anormais de estudos de função do sistema nervoso periférico e dos órgãos dos sentidos
R94.2,Resultados anormais de estudos da função pulmonar
R94.3,Resultados anormais de estudos da função cardiovascular
R94.4,Resultados anormais de estudos de função renal
R94.5,Resultados anormais de estudos de função hepática
R94.6,Resultados anormais de estudos de função tireoidiana
R94.7,Resultados anormais de estudos de função de outras glândulas endócrinas
R94.8,"Resultados anormais de estudos de função de outros órgãos, aparelhos e sistemas"
R95,Síndrome da morte súbita na infância
R96,Outras mortes súbitas de causa desconhecida
R96.0,Morte instantânea
R96.1,"Morte que ocorre em menos de 24 horas após o início dos sintomas, que não pode ser explicada"
R98,Morte sem assistência
R99,Outras causas mal definidas e as não especificadas de mortalidade
